endpoint	dataset	graph
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/icd10pcs
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/icd11-bodysystem
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/icd9cm
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/icdo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iceci
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iceo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/icf
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ico
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/icps
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/id-amr
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/idem
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/idg_gl
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ido
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ido-covid-19
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/idobru
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/idoden
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/idomal
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/idqa
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ifar
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/illnessinjury
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/imgt-ontology
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/inbancido
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/inbio
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/inbiodiv
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/incentive
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/incentive-vars
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/infection_trans
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/infrarisk
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/injurytypes
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ino
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/insname
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/into
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/intveetype
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/intvmode
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iobc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ipd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ird
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/irdg
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso-food
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19110
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115cc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115ci
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115con
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115di
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115ex
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115id
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115mi
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115pr
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115roles
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115srs
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso19115tcc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iso639-2
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ispo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/issva
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/itemas
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ito
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ixno
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/jerm
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/kenyaanc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/kgcl
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/kisao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/koro
